지 역,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월
서울-강북지역,32.025,31.9,31.775,31.725,31.55,31.6,31.55,31.5,31.475,31.475,31.425,31.2,31.075,30.875,30.8,30.725,30.65,30.6,30.575,30.525,30.5,30.45,30.45,30.375,30.425,30.35,30.325,30.3,30.25,25.1,25.1,24.975,24.975,25.175,25.175,25.175,25.25,25.225,25.175,25.125,25.1,25.15,23.8,23.85,23.925,23.95,23.975,23.975,23.925,23.925,24,23.95
서울-강남지역,34.96666667,35,34.93333333,34.86666667,34.86666667,34.66666667,34.6,34.63333333,34.7,34.66666667,34.6,34.7,34.7,34.76666667,34.56666667,34.5,34.4,34.13333333,34.1,34.16666667,34.16666667,34.06666667,33.83333333,33.7,33.63333333,33.53333333,33.43333333,33.4,33.3,27.86666667,27.76666667,27.66666667,27.7,27.8,27.9,27.96666667,27.96666667,27.86666667,27.66666667,27.66666667,27.6,27.6,26.2,26.36666667,26.5,26.53333333,26.53333333,26.5,26.5,26.5,26.46666667,26.4
경기,24.2625,24.1375,24.0125,23.975,23.9125,23.7125,23.65,23.6625,23.7,23.8375,23.825,23.975,24.025,24.025,23.975,24,23.9375,23.875,23.85,23.8375,23.8375,23.875,23.825,23.8125,23.7875,23.7375,23.7125,23.6625,23.6375,19.2625,19.175,19.225,19.225,19.275,19.325,19.3875,19.4125,19.425,19.475,19.4625,19.4125,19.3625,19.1,19.125,19.1875,19.2375,19.2,19.1875,19.1625,19.175,19.15,19.0875
인천,18.3,18.3,18.2,18.1,17.9,17.8,17.7,17.7,17.7,17.8,17.5,17.4,17.3,17.2,17.2,17.2,17.2,17.2,17.1,17.2,17.2,17.2,17.2,17.2,17.1,17.1,17.1,17.1,17,14.9,14.8,14.8,14.8,14.8,14.8,14.8,14.9,14.8,14.8,14.8,14.8,14.8,13.8,13.8,13.8,13.9,13.9,13.9,13.9,13.9,13.9,13.9
부산,29.025,29,28.925,28.975,28.875,28.8,28.7,28.65,28.65,28.675,28.725,28.7,28.625,28.525,28.35,28.275,28.1,28.05,28.025,27.95,27.9,27.925,27.9,27.925,27.85,27.8,27.825,27.825,27.85,24.85,24.75,24.75,24.775,24.775,24.775,24.825,24.875,24.925,24.95,24.95,24.95,24.975,23.55,23.575,23.575,23.65,23.675,23.725,23.725,23.725,23.75,23.75
대구,15.4,15.3,15.2,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15,15.1,15.2,15.1,15,15,15,15,15,15,15.1,15,15,15,14.9,14.9,14.8,14.8,14.7,10.6,10.6,10.6,10.6,10.6,10.6,10.5,10.5,10.6,10.6,10.6,10.6,10.6,10.5,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
광주,26.3,26.2,26.5,26.3,26.2,25.9,25.9,25.8,25.8,25.7,25.5,25.8,25.9,25.9,25.8,25.8,25.8,25.7,25.7,25.7,25.7,25.6,25.3,25.3,25.2,25.2,24.8,24.8,24.8,21.2,21.2,21.2,21.2,21.1,21.1,21.1,21.1,21.1,21.1,21,21,20.9,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7
대전,23.7,23.6,24.2,24.3,24.1,23.9,23.7,23.6,23.6,23.7,23.5,23.5,23.7,23.7,23.5,23.4,23.5,23.4,23.4,23.3,23.2,23.2,23.1,23.2,23.2,23,23,22.9,22.7,20,19.8,19.7,19.7,19.6,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.6,19.1,19.1,19.1,19.1,19,19,19,18.9,18.9,18.8
울산,27.7,27.7,27.7,27.7,27.6,27.5,27.5,27.4,27.3,27.3,27.2,27.2,27.2,27.1,27.1,27,27,27,27,27,26.9,26.9,26.8,26.8,26.8,26.8,26.7,26.7,26.7,21.6,21.4,21.5,21.5,21.6,21.6,21.4,20.9,20.6,20.5,20.4,20.5,20.5,20.4,20.4,20.4,20.5,20.5,20.5,20.5,20.4,20.4,20.4
세종,13.5,13.5,13.4,13.4,13.4,13.4,13.4,13.3,13.3,13.3,13.2,13.2,13.2,13.1,13.5,13.4,13.2,13.2,13.2,13.3,13.1,13.3,13.4,13.3,13.3,13.3,13.2,13.2,13.2,11.6,11.5,11.7,11.6,11.6,11.6,11.7,11.8,11.9,12,11.7,11.6,11.4,11.2,11.2,11.2,11.1,10.7,10.8,10.8,10.9,10.9,10.9
강원,16.1,16.1,16.1,16,15.9,16,16.2,16.3,16.3,16.3,16.3,16.5,16.6,16.6,16.7,16.6,16.5,16.6,16.6,16.6,16.5,16.4,16.4,16.4,16.3,16.3,16.2,16.2,16.2,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.4,14.4,14.4,14.4,14.5,13.9,14,14,14,14,14,14.1,14.1,14.1,14.1
충청도,24.9,24.85,25.05,25.05,24.9,24.9,24.8,24.7,24.6,24.25,23.9,23.65,23.35,23.25,23,22.8,22.65,22.65,22.6,22.5,22.45,22.3,22.25,22.1,21.85,21.5,21.4,21.4,21.35,16.25,16.3,16.3,16.3,16.35,16.35,16.35,16.35,16.35,16.4,16.35,16.4,16.4,15.7,15.75,15.8,15.85,15.8,15.85,15.85,15.85,15.85,15.85
경상도,26.9,26.95,26.9,26.85,26.85,26.85,26.85,26.8,26.75,26.8,26.8,26.8,26.85,26.85,26.8,26.7,26.7,26.6,26.6,26.55,26.5,26.45,26.35,26.3,26.3,26.3,26.3,26.3,26,20.95,21,21,20.95,20.95,21.05,21.05,21,20.95,20.85,20.8,20.75,20.8,19.45,19.5,19.5,19.5,19.55,19.55,19.55,19.6,19.6,19.6
전라도,27.2,27.15,27.15,27.05,27,27,26.95,27,27,27,26.95,26.95,26.9,26.8,26.5,26.5,26.55,26.5,26.4,26,25.8,25.7,25.55,25.45,25.45,25.25,25.1,24.8,24.75,22.15,22.1,22.1,22.1,22,22,21.95,22,22,21.95,21.95,21.9,21.85,20.7,20.65,20.65,20.7,20.7,20.8,20.75,20.7,20.75,20.75
