지 역,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월
서울-강북지역,82430.75,82544.75,82644.75,83203.5,83308,83929,83961.5,84013.5,84044,84065,84101,83794.5,83851.25,83406.5,83144.25,83408,83412,83433,83453,83465.5,83473.5,83539.25,83619.5,83622.75,84050,84013,84115.25,84191,84208,77574.75,77728.75,77230,77280.5,78223.5,78267.25,78532.25,78699.25,78704.25,78705,78736,78638.25,78626.75,77327.25,77243.25,77229,77211.5,77203.75,77195.25,77015.75,77020.25,77117.75,77048.75
서울-강남지역,126649,127341,128032.6667,128309.3333,129483.3333,129701.6667,129732,130191.3333,130882.3333,130943,130938,131432.6667,131462.6667,131843.3333,129369,129591,129628.6667,129092,129111,129671.3333,130526,130613,130468.3333,130581.6667,130880.6667,130792,130535.3333,130328,130505.3333,124042.3333,123890.3333,123751.3333,123425.6667,123296,123047,122989.3333,122971,122973.3333,123209.3333,123169.6667,123091,123031.6667,121314.3333,121225,121245.3333,121178,121006.3333,120939.3333,120800.3333,120815.6667,120829.3333,120911.3333
경기,45890.125,45870.375,45851.625,46027.375,46120.75,45761.125,45714.5,46025.75,46266,46588,46911.375,47630.5,47919.25,48011.875,48760,48959.25,49009.5,48814.75,48790.625,48686.5,48868.875,49008.375,49064.25,49109,49081.375,49103.375,49098,49102,49121.875,40807.125,40625.25,40653.125,40635,40633.125,40627.25,40657.125,40618.625,40568.375,40567,40578.125,40456.5,40251.375,40491.625,40493,40485.875,40473.625,40286,40229.375,40141.75,40112.75,40113.5,40085.5
인천,23918,24218,24250,24014,23654,23603,23460,23462,23743,23855,23456,23245,23152,23184,23295,23285,23279,23280,23279,23447,23447,23399,23505,23488,23495,23551,23557,23571,23578,22510,22427,22430,22434,22429,22429,22426,22426,22289,22279,22265,22268,22267,21408,21428,21431,21427,21428,21422,21433,21432,21450,21454
부산,38139.25,38129.25,38068.75,38385,38389,38445,38422.5,38437.75,38467.75,38623.75,38775.25,38801.5,38874,38843.25,38922.5,38953.25,38921.25,38911,38934.5,38901,38904.75,38944,39045.5,39118.5,39065.5,39026.5,39027,39016.25,39050.25,41274.5,41155.5,41150,41128.75,41025.5,40985.25,40913.5,40915.75,40846.25,40774,40730.75,40700.25,40662.75,38116.75,38099.25,38052.75,37942.75,37883.75,37860.75,37743,37691.5,37619.5,37567.25
대구,22998,23006,23031,23043,23052,23052,23049,23041,22948,22925,22845,22968,22976,22946,22993,22958,22958,22958,22966,22965,23467,23337,23299,23282,23255,23379,23136,22999,22954,17311,17311,17311,17310,17296,17296,17113,17119,17192,17183,17183,17220,17223,18015,18047,18047,18047,18047,18047,18030,18040,18057,18039
광주,36945,36949,37189,36976,37061,36831,36802,36649,36629,36545,36380,36848,36999,36964,36945,36949,36961,36905,36910,36917,37024,36977,36753,36760,36762,36765,36091,36099,36100,35784,35796,35765,35768,35753,35772,35748,35749,35743,35752,35759,35724,35720,36995,36997,36993,36986,36941,36930,36911,36790,36766,36721
대전,35514,35455,36471,36741,36523,36256,36133,36048,36010,36288,36179,36385,36817,36941,36991,36899,36978,36980,36983,36908,36877,36895,36745,36835,36835,36753,36787,36744,36560,32550,32501,32369,32379,32248,32089,32089,32091,32107,32107,32125,32125,32128,32222,32188,32174,32140,32105,32105,32117,32084,32074,32072
울산,41804,41815,41871,41913,41829,41851,41849,41876,41799,41699,41682,41914,41771,41499,42660,42560,42487,42408,42398,42378,42328,42274,42210,42176,42118,42024,41802,41781,41732,37685,37378,37318,37187,37190,36758,36518,35549,34670,34300,33814,33632,33383,32669,32618,32408,32294,32116,31977,31894,31698,31575,31605
세종,12203,12172,12170,12128,12134,12134,12134,12134,12126,12133,12135,12216,12236,12260,15435,15391,15327,15294,15185,15317,14920,14557,13858,13337,13311,13277,13294,13433,13433,14876,15086,15238,15121,15000,14859,14801,14801,14927,14936,14701,15053,15076,16106,16106,16040,15662,15257,15161,15161,15157,15157,15158
