,땅 값,shortName,x,y,면적,광역시도,행정구역
0,754367,서울강동,8,5,24.6,서울-강북지역,강동구
1,754367,서울강북,5,2,23.6,서울-강북지역,강북구
2,754367,서울강서,4,4,41.4,서울-강북지역,강서구
3,754367,서울노원,6,1,35.44,서울-강북지역,노원구
4,754367,서울도봉,5,1,20.8,서울-강북지역,도봉구
5,754367,서울동대문,7,4,14.2,서울-강북지역,동대문구
6,754367,서울마포,5,4,23.87,서울-강북지역,마포구
7,754367,서울서대문,5,3,17.6,서울-강북지역,서대문구
8,754367,서울성동,7,5,16.85,서울-강북지역,성동구
9,754367,서울성북,6,2,24.57,서울-강북지역,성북구
10,754367,서울용산,6,5,21.87,서울-강북지역,용산구
11,754367,서울은평,4,3,29.7,서울-강북지역,은평구
12,754367,서울종로,6,3,23.9,서울-강북지역,종로구
13,754367,서울중구,6,4,9.96,서울-강북지역,중구
14,754367,서울중랑,8,4,18.5,서울-강북지역,중랑구
15,1008999,서울강남,6,7,39.5,서울-강남지역,강남구
16,1008999,서울관악,5,6,29.6,서울-강남지역,관악구
17,1008999,서울광진,7,6,17.05,서울-강남지역,광진구
18,1008999,서울구로,4,7,20.11,서울-강남지역,구로구
19,1008999,서울금천,5,7,13.01,서울-강남지역,금천구
20,1008999,서울동작,5,5,16.36,서울-강남지역,동작구
21,1008999,서울서초,6,6,47.04,서울-강남지역,서초구
22,1008999,서울송파,8,6,33.9,서울-강남지역,송파구
23,1008999,서울양천,4,5,17.4,서울-강남지역,양천구
24,1008999,서울영등포,4,6,24.56,서울-강남지역,영등포구
25,352352,가평,9,3,843.04,경기,가평군
26,352352,고양,4,2,267.33,경기,고양시
27,352352,과천,7,7,35.813,경기,과천시
28,352352,광명,3,3,38.5,경기,광명시
29,352352,광주,8,7,431.84,경기,광주시
30,352352,구리,9,4,33.3,경기,구리시
31,352352,군포,5,8,36.35,경기,군포시
32,352352,김포,2,3,276.64,경기,김포시
33,352352,남양주,8,3,458.44,경기,남양주시
34,352352,동두천,7,2,95.68,경기,동두천시
35,352352,부천,2,4,53.44,경기,부천시
36,352352,성남,7,8,141.82,경기,성남시
37,352352,수원,6,9,121.09,경기,수원시
38,352352,시흥,3,5,134.4,경기,시흥시
39,352352,안산,3,6,144.78,경기,안산시
40,352352,안성,4,8,554.2,경기,안성시
41,352352,안양,3,4,58.52,경기,안양시
42,352352,양주,8,2,310.31,경기,양주시
43,352352,양평,9,6,877.08,경기,양평군
44,352352,여주,9,7,608.64,경기,여주시
45,352352,연천,7,1,695.23,경기,연천군
46,352352,오산,3,8,42.74,경기,오산시
47,352352,용인,7,9,591.5,경기,용인시
48,352352,의왕,6,8,54,경기,의왕시
49,352352,의정부,7,3,81.59,경기,의정부시
50,352352,이천,8,8,461.02,경기,이천시
51,352352,파주,3,2,672.56,경기,파주시
52,352352,평택,5,9,452.31,경기,평택시
53,352352,포천,8,1,826.38,경기,포천시
54,352352,하남,9,5,93.1,경기,하남시
55,352352,화성,3,7,688.1,경기,화성시
56,270663,인천강화,1,3,411.2,인천,강화군
57,270663,인천계양,2,5,45.58,인천,계양구
58,270663,인천남구,2,7,24.47,인천,남구
59,270663,인천남동,2,8,56.9,인천,남동구
60,270663,인천동구,1,5,7.05,인천,동구
61,270663,인천부평,2,6,32,인천,부평구
62,270663,인천서구,1,4,137.05,인천,서구
63,270663,인천연수,1,8,33.76,인천,연수구
64,270663,인천옹진,0,8,164.3,인천,옹진군
65,270663,인천중구,1,7,110.6,인천,중구
66,336731,부산강서,8,18,179.05,부산,강서구
67,336731,부산금정,10,15,65.19,부산,금정구
68,336731,부산기장,12,16,217.9,부산,기장군
69,336731,부산남구,11,19,25.91,부산,남구
70,336731,부산동구,10,17,9.77,부산,동구
71,336731,부산동래,11,16,16.6,부산,동래구
72,336731,부산부산진,10,16,29.7,부산,부산진구
73,336731,부산북구,9,16,38.3,부산,북구
74,336731,부산사상,9,17,35.8,부산,사상구
