지 역,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월
서울-강북지역,51.525,51.625,51.775,51.875,51.9,51.975,51.95,52.1,52.475,52.95,53.325,53.7,53.975,54.3,54.775,55.25,55.375,55.55,55.95,56.575,57.1,57.45,57.85,58.075,58.425,58.7,58.85,58.95,59.025,59.1,59.2,59.3,59.375,59.45,59.65,59.8,59.925,60.025,60.2,60.325,60.425,60.475,62.8,62.85,63,63.175,63.35,63.525,63.625,63.725,63.75,63.825,63.9,64,64.1,64.1,64.225,64.275,64.25,64.3,64.3,64.3,64.4,64.35,64.425,64.25,64.025,63.925,63.95,63.95,63.85,68.075,67.875,67.5,67.2,67,66.75,66.5,66.275,65.925,65.375,65.1,64.975,64.825,61.025,60.95,60.85,60.8,60.8,60.8,60.8,60.7,60.675,60.55
서울-강남지역,50.5,50.66666667,50.83333333,50.9,50.96666667,51.13333333,51.16666667,51.5,52.2,52.83333333,53.33333333,53.86666667,54.43333333,54.9,55.3,55.5,55.4,55.63333333,56.3,57.03333333,57.53333333,58.06666667,58.4,58.8,59.53333333,59.8,59.9,59.9,59.9,59.96666667,60.03333333,60.06666667,60.06666667,60.1,60.26666667,60.46666667,60.76666667,61,61.2,61.33333333,61.5,61.63333333,63.86666667,63.9,64.03333333,64.1,64.56666667,64.73333333,64.86666667,65.26666667,65.4,65.53333333,65.5,65.76666667,65.66666667,65.63333333,65.63333333,65.53333333,65.46666667,65.5,65.5,65.5,65.53333333,65.53333333,65.53333333,65.23333333,65.23333333,65.06666667,65.16666667,65.1,65,67.5,66.93333333,66.33333333,65.76666667,65.3,64.93333333,64.7,64.56666667,64.4,63.83333333,63.7,63.66666667,63.6,60.9,60.73333333,60.63333333,60.63333333,60.63333333,60.63333333,60.63333333,60.6,60.56666667,60.46666667
경기,54.025,54.175,54.2125,54.2625,54.3,54.4,54.5375,54.7125,55.0875,55.5,55.8125,56.2375,56.5875,56.85,57.2125,57.6125,57.7125,57.8375,58.175,58.65,59.15,59.55,59.8625,60.1375,60.5375,60.85,61.125,61.25,61.3125,61.4,61.6,61.775,61.8625,62,62.2,62.4,62.65,62.875,63.075,63.3125,63.4875,63.7,67.5875,67.7,67.85,68,68.1625,68.3125,68.4125,68.525,68.6625,68.8,68.9,69.0125,69.075,69.175,69.5,69.575,69.5875,69.6125,69.625,69.65,69.675,69.6875,69.7125,69.675,69.5875,69.45,69.3875,69.35,69.275,72.575,72.3875,72.1,71.8875,71.6375,71.3875,71.175,70.975,70.7375,70.4125,70.1625,69.9375,69.75,68.675,68.625,68.525,68.425,68.375,68.3375,68.275,68.2375,68.275,68.3375
인천,54.5,54.5,54.7,54.8,55,55.2,55.5,55.8,56.3,56.7,57,57.4,57.7,58.1,58.6,58.9,59,59.2,59.5,60,60.4,60.8,61.2,61.5,61.6,61.9,62.4,62.4,62.5,62.6,62.7,62.8,62.9,63,63.2,63.3,63.4,63.5,63.7,63.9,64.1,64.2,67,67.1,67.3,67.4,67.5,67.5,67.6,67.7,67.9,68,68.2,68.3,68.4,68.5,68.5,68.5,68.5,68.6,68.6,68.8,68.8,68.8,68.9,68.9,68.9,68.8,68.8,68.8,68.7,72.9,72.8,72.7,72.6,72.5,72.4,72.4,72.3,72.2,72.2,72.1,71.9,71.7,71.5,71.4,71.3,71.2,71.2,71.1,71,71,71,71
부산,64.85,64.825,65,65.225,65.45,65.65,65.775,65.875,66,66.125,66.25,66.475,66.65,66.9,67.075,67.15,67.125,67.175,67.2,67.3,67.4,67.45,67.525,67.55,67.725,67.825,67.925,68.025,68.05,68.125,68.125,68.1,68.075,68.075,68.1,68.1,68.225,68.225,68.275,68.3,68.225,68.225,67.9,67.875,67.85,67.825,67.775,67.9,68,68.125,68.15,68.225,68.225,68.275,68.25,68.175,68.225,68.075,67.925,67.85,67.8,67.75,67.7,67.65,67.475,67.325,67.2,67.05,67,66.925,66.925,66.15,66.125,66.125,66.1,66.125,66.025,66.025,65.95,65.95,65.975,65.975,66.05,66.1,65.95,65.95,66,66,66.05,66.05,65.975,65.975,65.95,65.975
대구,66.4,66.5,66.5,66.6,66.7,66.7,66.8,66.8,66.9,67,67.1,67.3,67.3,67.4,67.5,67.8,68.1,68.1,68.1,68.2,68.3,68.5,68.5,68.6,68.6,68.5,68.5,68.5,68.6,68.7,68.7,68.7,68.7,68.7,68.6,68.6,68.7,68.6,68.7,68.7,68.7,68.7,67.6,67.5,67.3,67.2,67.2,67.2,67.2,67.3,67.3,67.4,67.4,67.5,67.5,67.5,67.7,67.7,67.7,67.7,67.7,67.8,67.8,67.8,67.9,67.9,67.9,67.6,67.5,67.3,67.2,67.3,67.1,67.1,66.9,66.8,66.6,66.5,66.4,66.4,66.3,66,65.8,65.6,65.3,65.4,65.5,65.5,65.5,65.5,65.6,65.7,65.7,65.9
광주,70.6,70.6,71,71.1,71.3,71.5,71.5,71.5,71.6,71.7,71.7,71.8,72,72,72,72.1,72.2,72.3,72.3,72.4,72.5,72.6,72.7,72.7,72.9,72.9,73,73,73,73,73,73,73,73,73.1,73.1,73.2,73.3,73.2,73.2,73.2,73.3,74.3,74.3,74.4,74.5,74.5,74.6,74.6,74.7,74.7,74.8,74.9,75,75,75,75.1,75.1,75.1,75.2,75.1,75.2,75.3,75.3,75.4,75.5,75.4,75.4,75.3,75.3,75.2,74.4,74.3,74.2,74.1,74,73.9,73.8,73.7,73.6,73.2,72.9,72.7,72.5,71.1,71.1,71,71,71,71,70.9,70.9,70.9,70.9
대전,62,61.7,61.5,61.4,61.2,61,61,60.9,61.2,61.7,62.1,62.4,62.6,63,63.3,64,64.2,64.5,64.8,65.3,65.6,65.7,65.8,65.9,66,66.4,66.6,66.6,66.6,66.6,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.6,66.6,66.7,66.7,66.7,66.9,66.9,67.1,67.2,67.3,67.4,67.5,67.6,67.7,67.8,67.9,68,68.1,68.2,68.1,68.1,68.1,68.2,68.3,68.4,68.5,68.7,68.6,68.6,68.5,68.5,68.5,68.5,68.6,70.9,70.8,70.8,70.8,70.7,70.5,70.4,70.4,70.3,70.2,69.9,69.6,69.3,69.4,69.4,69.4,69.4,69.4,69.2,69,68.7,68.3,67.7
울산,65.3,65.4,65.5,65.6,65.6,65.6,65.6,65.5,65.5,65.5,65.6,66,66.2,66.3,66.6,66.7,66.8,66.9,67,67.2,67.3,67.3,67.3,67.3,67.1,67.3,67.3,67.2,67,66.9,66.7,66.7,66.6,66.6,66.5,66.5,66.7,66.7,66.6,66.5,66.5,66.4,66,65.9,65.8,65.8,65.7,65.7,65.7,65.7,65.7,65.7,65.8,65.8,65.7,65.7,66.1,66.1,66,66,66,66.1,66.1,66.1,66.2,66.2,66.2,66.2,66.2,66.2,66.2,67.5,67.5,67.4,67.3,67.2,67,67,66.8,66.6,66.5,66.3,66.2,66.2,65.3,65.2,65.1,65,64.9,64.7,64.6,64.4,64.4,64.4
세종,-,-,-,-,-,-,-,-,-,-,-,46.8,47,47.4,47.7,47.9,48.2,48.3,48.6,49.1,49.5,49.7,49.8,49.9,50.7,50.7,50.5,49.9,49.5,49.1,48.5,47.6,46.7,46.3,46.2,46.1,48.9,48.8,48.8,48.8,48.8,48.8,50.7,50.7,50.7,50.8,50.8,50.9,50.9,51.1,51.2,51.3,51.6,51.9,52.2,52.6,55.2,55.3,55.4,55.4,55.3,55.2,54.8,53.2,50.6,49.2,48.7,48.6,48.8,48.9,49.1,52.6,53,52.7,52.5,52.3,51.7,51.2,50.5,50.1,49.9,50.4,51.9,53,51.5,51.8,51.7,51.2,51,50.7,50.5,50.4,50.4,50.4
