지 역,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월
서울-강북지역,0,-313,-1446.25,-2350.75,-3224.75,-4328.5,-5276.25,-6726.5,-8228.25,-9975.75,-11569.5,-16182.5,-17260.75,-18153.5,-18939.25,-20163.25,-20204.75,-21091.5,-22228.75,-23894,-24579.5,-24209.75,-24167.5,-24084.5,-23569.5,-23102.75,-22756.75,-22700.5,-22833.5,-22946.5,-23111.25,-23152.5,-22652.5,-22003,-24325,-24168.25,-27875,-27381.5,-26509.5,-25442.5,-24583,-23288,-12414,-11344.75,-10016.75,-8504,-7266.25,-6591,-6379.25,-6239,-6116.5,-5878.5,-5473,-5279.5,-4640.25,-3345.25,-4553.25,-3433.5,-2330.75,-1764,-1446.5,-1140.5,-633,725.5,1624.75,3658.5,5442.5,7085.25,7707.75,8474,9759.25,72484.25,75537.5,80937.25,84922.25,87029.5,89041.25,91688.25,94375.5,99006.25,104956,108638.25,110535.5,111712.25,174196.75,173538.75,172942.75,172428.5,172260.75,172491.5,173108.75,174243.25,175497.5,178186.75
서울-강남지역,0,-2259,-5044.3333,-11033.3333,-13617.6667,-18323,-22969.3333,-28581.3333,-32839.6667,-36125.6667,-38089.6667,-48016.6667,-51911.6667,-53583.6667,-50753.6667,-47830,-46257.3333,-48131.3333,-51403,-53605.3333,-52609.6667,-50584.3333,-50273.6667,-50713.3333,-58447,-56835,-55152,-55262.6667,-55850.6667,-56284.3333,-56199,-55476.3333,-53254,-51293.6667,-50994,-51308,-59673,-57995.3333,-55115,-51458,-47937,-44448,-31966.3333,-29620,-26809.6667,-24365.6667,-22976.3333,-21169.6667,-21314.3333,-22516.6667,-22684.6667,-22039.6667,-20675.3333,-19641,-17800.6667,-15415.3333,-21296.6667,-17400.6667,-15171,-15396.6667,-15840.3333,-15243.3333,-11284.6667,-9942.6667,-7482,-1020,1177,4774.3333,4732.3333,6855.6667,10134,85300.3333,99703.6667,112070,116534.6667,117983,118052.3333,117773.3333,118215.6667,123739.3333,136958.6667,140947,140840.3333,139781.3333,194278.6667,190443.6667,187019,184908,183899.3333,183805.3333,185399.3333,187118.6667,189427.3333,195022
경기,0,-193.25,-750.375,-1490.625,-2270,-3375.25,-4767.125,-6315.5,-7907.375,-9415.125,-10789.5,-13702.5,-15194.5,-16186.625,-16911,-17116.875,-16830.625,-16941.375,-18102.125,-18694.875,-18842.75,-18176.125,-17993,-17762.5,-14870,-14260.375,-13484.625,-13613.375,-13852.5,-13944.125,-14028.625,-13839.75,-13022.625,-12319.875,-12024.25,-11715.5,-17386.125,-16821,-15968.5,-14630.5,-13571.375,-12498.375,-11785.625,-11049.125,-10146.875,-9113,-8294.75,-7946.625,-7889.5,-7880.625,-7910.375,-7877.25,-7748,-7586.5,-7438.5,-7189.875,-5600.25,-5296.625,-4911.75,-4801.5,-4813.25,-4820.5,-4501.875,-4276.75,-3947.75,-3428,-2759,-1681.5,-1038.25,-479.375,64.75,16161.375,16873.75,18173.25,19217,20035.5,20529.125,20895.25,21146.25,21608.375,23713.875,25341,26489.125,26787.875,41110,40727.5,40255.25,39126.125,38433.25,38102,38172.25,38591.5,39421.5,40445.5
인천,0,-319,-696,-952,-1627,-2345,-3272,-4239,-5150,-6084,-6737,-9025,-10241,-11211,-11965,-10803,-10662,-10708,-10911,-11153,-11121,-10470,-9894,-9650,-5754,-5416,-4690,-4413,-4281,-4281,-4246,-4119,-3726,-3262,-2909,-2756,-1957,-1620,-818,200,980,1849,-850,-455,-137,313,881,1236,1279,1237,1412,1457,1532,1718,1686,1974,3661,3923,4195,4317,4263,4351,4449,4565,4695,4980,5229,5919,6470,6938,7324,20826,20844,21072,21223,21251,21225,21199,21051,20612,20592,20985,21637,22312,32209,32071,32173,32188,32212,32355,32354,32177,32752,33227
부산,0,-531.75,-887.5,-1435.75,-1968.5,-2916.5,-3640.5,-4521.5,-4930.5,-5131.25,-5364.5,-6767,-7282,-7590,-7793.75,-7737.5,-7655,-7742.5,-7967.75,-8153.75,-8254.25,-7964,-7781.5,-7612.5,-6215.5,-6259.75,-6131.25,-6012.75,-5902.5,-5759.75,-5538,-5325,-5050.5,-4706.5,-4388.5,-4042,-4301.75,-3948.25,-3397.25,-2549.75,-1947.5,-1119.75,3034.5,3528.5,4196.75,5113,6072.5,6521.25,6629,6765.25,6955.5,7222,7453,7747.75,8288.75,9258.5,11049.5,12434.75,13964.5,14889,15380.5,15834.5,16167.75,16794,17701.25,18511.5,19119.25,19629.5,19879.5,19969.5,20030.75,54558.5,54394.25,54172,53933.5,53582.5,53289,52824.25,52386.5,51735.75,51466,51284.5,50889,50364,52709.25,52371.5,51937.5,51345,50848,50302,49878.5,49558.25,49310,49081
대구,0,512,1200,1802,2073,2163,2193,2554,2717,2977,3221,3748,4486,4786,5074,6304,7492,8862,10750,11788,12535,13688,15330,17366,20186,21461,22434,23426,24407,24776,25175,25795,26817,27824,29102,30599,31429,32452,33714,35797,37523,39445,62313,64056,66309,67957,69125,69137,68801,68378,67876,67411,67150,66329,66125,65651,68189,68088,68011,67914,67777,67679,68025,67973,67849,67931,68187,69856,70996,71854,72797,95596,96674,97533,98591,100098,101402,101996,102737,103468,104766,106950,109334,111259,121487,121642,121882,121958,122117,122316,122444,122414,122593,123129
광주,0,-26,568,870,1476,2039,2292,2227,2194,2209,2327,2722,2726,2827,2937,3175,3314,3374,3435,3355,3324,3418,3552,3560,4702,4974,5526,5697,5746,5808,5958,6096,6288,6559,6941,7048,6319,6737,7484,9019,9901,10968,35458,36023,35869,36522,37355,37803,37801,37895,37933,38095,38104,38042,37846,37760,37845,37925,38023,38166,38288,38340,38679,38774,38967,39037,39338,39618,39895,40250,40449,71805,72269,72693,73261,73865,74393,74894,75842,76852,79110,80931,82136,83051,102582,102896,103113,103156,103024,102863,102660,102621,102692,102768
대전,0,-952,-1271,-1713,-2122,-3344,-4329,-5735,-6025,-5916,-5656,-5892,-5878,-6058,-5990,-7769,-7628,-7633,-8113,-8571,-8743,-8408,-8078,-7938,-4392,-4541,-4576,-4719,-4948,-5140,-5220,-5182,-4931,-4664,-4584,-4791,-4361,-4339,-4125,-4040,-3969,-3946,11473,11491,11394,11569,11785,11701,11565,11533,11623,11611,11660,11494,11603,11796,15056,15176,15469,15760,15938,16149,16308,16475,16690,16842,16988,17657,18099,18592,19273,24258,24667,25230,25596,25877,26013,26187,26380,26979,27695,29826,32199,34010,47029,47406,47530,47789,48644,49760,50777,52962,55707,59371
울산,0,1083,2011,3100,4018,4611,3870,3508,3152,2973,3435,2155,1928,1589,1347,1598,1715,1981,2236,1955,1874,2152,2743,2774,4566,292,579,1003,1465,2128,2703,3289,3917,4468,5259,5758,5026,5453,5878,6612,7227,8003,27152,27615,28273,29057,29788,30192,30598,31022,31221,31473,31673,31969,31324,31199,32924,33206,33189,33089,32947,32888,32844,32668,32606,32370,32267,32170,32326,32270,31937,47919,47451,47073,46762,46051,44877,44190,42879,41303,40326,38967,37272,35610,38883,38076,37354,36486,35888,35395,35070,34762,34271,34547
세종,0,200,300,450,500,550,640,687,687,687,687,687,687,1622,2645,3373,4339,4991,5030,4744,4825,5215,5475,5728,10791,10782,10749,10636,10242,10014,9605,9252,9031,9403,9373,9495,14134,14175,14148,14174,14220,14385,39216,39282,39410,39600,39652,39610,39742,40009,40148,40245,40416,40880,41386,41807,61868,62186,62852,63239,63414,63710,64456,65089,67092,72346,74410,75715,75918,76056,76200,133536,134265,134860,135792,136778,137615,138327,139444,139934,140011,140816,141616,142107,178792,178710,177730,175670,175007,173417,172461,172024,172184,172333
