,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
0,415972.6666666667,400193.0833333333,398664.3333333333,404173.1458333333,417155.1041666667,431252.9791666667,516639.4791666667,595664.025
1,567245.6944416667,538015.9166666666,533957.6111083333,549192.8333333334,569374.6111,593000.7222166667,712203.9444416667,776786.13333
2,259644.11458333334,247329.46875,251310.86458333334,252291.17708333334,257881.27083333334,263432.15625,286459.6979166667,304163.9875
3,190322.5,182960.58333333334,189538.58333333334,193661.5,196058.91666666666,200360.41666666666,214859.91666666666,226064.8
4,192538.64583333334,187918.70833333334,190268.91666666666,196646.77083333334,205101.375,216844.625,248240.02083333334,246447.35
5,165820.66666666666,173595.75,188890.83333333334,214495.41666666666,231217.58333333334,235100.66666666666,266624.6666666667,285922.2
6,134370.83333333334,136045.75,138741.25,155250.83333333334,170748.91666666666,174749.33333333334,209404.08333333334,235633.5
7,193437.41666666666,189449.75,192209.66666666666,200736.41666666666,209879.16666666666,214789.41666666666,224571.91666666666,247714.5
8,209427.33333333334,208592.0,209553.25,224124.0,238508.25,240368.66666666666,249331.08333333334,242674.2
9,150162.0,154218.16666666666,160109.75,176995.83333333334,198060.16666666666,225823.83333333334,288625.75,324994.8
10,115920.33333333333,115430.41666666667,116631.25,121708.5,127557.08333333333,131069.33333333333,146120.58333333334,151702.3
11,129870.08333333333,132768.66666666666,136770.75,136998.83333333334,134273.91666666666,134164.75,141127.29166666666,147574.95
12,137933.29166666666,139169.54166666666,143293.45833333334,149055.20833333334,151299.16666666666,150667.83333333334,153595.54166666666,154269.2
13,96685.58333333333,94800.5,94560.0,99321.29166666667,104581.125,108049.54166666667,124926.20833333333,132094.1
