지 역,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월
서울-강북지역,760,760,760.25,758,758.25,756.5,756.5,756.5,756.5,756.5,757.25,759,760.25,763.25,761.75,761.75,761.75,761.75,761.75,761.75,762.25,763.5,764.25,764.25,763,763.25,763.25,763.5,763.75,948,948.5,951,950.75,947.5,947,944,944.25,944.25,944.5,946.75,947,946.5,962,961.25,961,961,961,960.75,961.5,961.75,961.5,961.75
서울-강남지역,911.6666667,910.3333333,911,912,915,914.3333333,914.3333333,914,911.6666667,913,912.6666667,911.3333333,911,910.3333333,903.3333333,901.6666667,902.3333333,904.3333333,904.3333333,903,904.6666667,904.6666667,906,906.3333333,905.6666667,906.3333333,907.3333333,907.6666667,907.6666667,1031,1033.333333,1033.666667,1033.333333,1030.333333,1028.333333,1027,1027,1028,1028,1028.333333,1029.333333,1028.333333,1053.666667,1051,1048,1047.666667,1047,1046.666667,1047,1047,1047.333333,1048
경기,621.625,621.5,621.75,621,620.75,622.75,622.75,621.5,620.5,618.75,617.5,614.75,614,614,619.375,618.875,618.875,619.5,619.75,619.875,619.75,619.5,619.25,619.5,619.625,619.875,620.125,620.625,620.75,711,713.75,713.75,713.75,713.625,713.375,712.875,712.875,712.75,712.5,712,712.625,713.625,717.375,717.25,717,716.25,716.625,715.875,715.75,715.5,715.625,715.625
인천,539,538,539,540,541,541,541,541,541,540,542,543,544,544,547,547,547,547,547,548,548,548,548,548,548,548,548,548,548,606,606,606,606,606,606,606,606,606,606,606,606,606,624,623,622,622,622,622,621,620,620,620
부산,465.5,466.25,467,466.25,466.25,466.25,466.5,466.5,465.75,465.25,464,464.25,464.25,465,466.5,467,467.25,467.25,467.5,467.5,467.5,467.5,468,467.5,467.75,468,467.75,467.75,467.5,501.5,502.25,502.25,502.25,501.75,501.5,501.25,501,500.5,500,500,500,499.25,505.75,505.75,505,504.5,504,503.5,503,502.5,502.25,501.5
대구,654,655,655,655,655,655,655,655,655,655,654,654,653,653,660,660,659,659,659,659,657,657,657,657,656,656,657,657,657,677,677,677,677,677,677,679,679,679,679,679,680,680,687,688,688,688,688,688,689,689,688,689
광주,479,480,480,482,482,484,483,484,483,484,485,482,480,480,481,481,482,482,482,482,482,483,483,483,483,483,487,487,486,552,554,554,554,554,554,554,554,554,554,554,554,554,561,561,561,561,561,561,560,561,560,560
대전,549,549,542,540,542,543,544,545,546,545,545,543,540,540,544,544,544,544,544,544,544,543,544,543,542,544,544,544,545,601,601,602,602,602,602,602,602,602,602,602,602,602,611,611,611,611,611,611,611,611,611,611
울산,549,549,549,550,550,550,550,550,550,550,549,548,546,546,546,545,544,544,544,543,543,543,543,543,543,543,544,544,543,574,573,571,570,567,565,566,566,563,561,557,552,548,538,536,534,531,529,526,525,523,522,522
세종,409,409,408,408,408,408,408,408,408,408,408,409,409,410,441,441,444,444,444,444,444,431,413,408,407,408,408,408,408,598,599,597,596,596,595,590,587,585,585,588,591,598,612,612,612,614,615,614,614,614,614,614
강원,418,418,418,419,419,418,417,416,416,415,415,414,414,413,411,411,411,411,411,411,411,411,411,411,411,411,412,412,412,501,501,501,501,501,499,498,497,496,496,495,494,492,495,494,494,493,492,492,491,490,489,489
충청도,378.5,377,375.5,376,376.5,377,377,378,378,380,380.5,382.5,382.5,382.5,385,386.5,386.5,386,386,389.5,389,390,389.5,390.5,391,392,392,392,391.5,440,440,439.5,439,439,438,437.5,437,437,436.5,436,436,435,444.5,443.5,443.5,442.5,442,441,440.5,440,439.5,439.5
경상도,385,385,385,385.5,385,385,385,384.5,383.5,382.5,382.5,382,381.5,380.5,382,382,381.5,381.5,381,381,381.5,381,381,381,380,379.5,379,378,379,387,387,386.5,386,384,383,382,381,379.5,378.5,377.5,377,376.5,393.5,392.5,392,391,390.5,389.5,390,389,389,388.5
전라도,290,290,290.5,290.5,290.5,291,291,290.5,290.5,290.5,290.5,290.5,291.5,291,293,293,292.5,293,293.5,295.5,296.5,297,297.5,298,298,298.5,298.5,299.5,299.5,362,362,362,362,362,361.5,361.5,361.5,361,361,361,361,362,373,373,373,372.5,372.5,372.5,373,372.5,372.5,372.5
